Date,ES=F,NQ=F,YM=F,RTY=F,MES=F,MNQ=F,M2K=F,MYM=F
2024-01-02 05:00:00+00:00,4822.25,17018.25,38042.0,2055.89990234375,4822.5,17017.75,2055.89990234375,38040.0
2024-01-02 06:00:00+00:00,4820.0,17004.5,38033.0,2053.60009765625,4820.25,17004.5,2053.60009765625,38033.0
2024-01-02 07:00:00+00:00,4822.25,17017.0,38045.0,2055.10009765625,4822.25,17017.0,2055.199951171875,38044.0
2024-01-02 08:00:00+00:00,4826.5,17027.25,38108.0,2060.5,4826.5,17027.5,2060.800048828125,38108.0
2024-01-02 09:00:00+00:00,4816.5,16994.5,38011.0,2056.89990234375,4816.25,16994.75,2056.699951171875,38012.0
2024-01-02 10:00:00+00:00,4813.25,16971.0,37985.0,2058.5,4815.0,16979.0,2058.5,37999.0
2024-01-02 11:00:00+00:00,4791.5,16874.75,37848.0,2041.4000244140625,4791.25,16875.0,2041.300048828125,37851.0
2024-01-02 12:00:00+00:00,4779.0,16823.5,37774.0,2030.0,4779.25,16823.5,2030.0999755859375,37772.0
2024-01-02 13:00:00+00:00,4782.75,16853.0,37781.0,2033.4000244140625,4782.5,16852.5,2033.300048828125,37782.0
2024-01-02 14:00:00+00:00,4783.25,16763.25,37943.0,2049.60009765625,4783.25,16763.75,2049.699951171875,37942.0
2024-01-02 15:00:00+00:00,4777.25,16710.5,37973.0,2034.800048828125,4777.25,16710.25,2035.0,37972.0
2024-01-02 16:00:00+00:00,4792.5,16778.25,38017.0,2049.5,4792.75,16777.75,2049.60009765625,38018.0
2024-01-02 17:00:00+00:00,4787.0,16720.0,38040.0,2045.5,4787.0,16720.25,2045.5,38040.0
2024-01-02 18:00:00+00:00,4782.0,16696.0,37977.0,2035.0,4782.25,16696.25,2035.0,37977.0
2024-01-02 19:00:00+00:00,4769.75,16655.0,37880.0,2026.699951171875,4769.75,16655.0,2026.699951171875,37881.0
2024-01-02 20:00:00+00:00,4788.0,16720.75,37998.0,2034.0999755859375,4788.0,16721.0,2034.0999755859375,37998.0
2024-01-02 21:00:00+00:00,4788.5,16731.75,37999.0,2035.0999755859375,4788.75,16731.5,2035.4000244140625,37998.0
2024-01-02 23:00:00+00:00,4788.5,16724.75,38009.0,2036.0999755859375,4788.75,16724.5,2036.199951171875,38007.0
2024-01-03 00:00:00+00:00,4786.25,16716.5,37993.0,2032.699951171875,4786.5,16716.5,2032.5999755859375,37994.0
2024-01-03 01:00:00+00:00,4786.25,16711.75,37989.0,2032.199951171875,4786.25,16712.0,2032.199951171875,37988.0
2024-01-03 02:00:00+00:00,4785.0,16702.75,37983.0,2031.5999755859375,4785.0,16702.75,2031.5,37983.0
2024-01-03 03:00:00+00:00,4784.75,16703.5,37974.0,2031.300048828125,4784.5,16703.25,2031.4000244140625,37974.0
2024-01-03 04:00:00+00:00,4783.5,16694.25,37970.0,2029.300048828125,4783.25,16694.0,2029.300048828125,37969.0
2024-01-03 05:00:00+00:00,4783.75,16704.75,37964.0,2028.800048828125,4783.75,16704.75,2028.9000244140625,37964.0
2024-01-03 06:00:00+00:00,4784.5,16711.5,37970.0,2029.9000244140625,4784.5,16711.5,2030.0999755859375,37971.0
2024-01-03 07:00:00+00:00,4785.25,16709.75,37970.0,2030.5999755859375,4785.25,16709.75,2030.9000244140625,37968.0
2024-01-03 08:00:00+00:00,4781.75,16675.0,37974.0,2026.699951171875,4781.75,16679.5,2026.5,37969.0
2024-01-03 09:00:00+00:00,4775.5,16642.5,37933.0,2020.199951171875,4775.5,16642.5,2020.4000244140625,37933.0
2024-01-03 10:00:00+00:00,4776.5,16657.5,37922.0,2020.800048828125,4776.5,16657.5,2020.9000244140625,37933.0
2024-01-03 11:00:00+00:00,4772.75,16648.25,37893.0,2015.300048828125,4773.0,16648.5,2015.300048828125,37893.0
2024-01-03 12:00:00+00:00,4767.0,16609.25,37873.0,2011.5999755859375,4767.0,16609.25,2011.800048828125,37872.0
2024-01-03 13:00:00+00:00,4766.5,16617.0,37859.0,2007.0999755859375,4766.25,16617.25,2007.0,37859.0
2024-01-03 14:00:00+00:00,4759.5,16613.75,37793.0,1999.5,4759.25,16615.0,1999.699951171875,37796.0
2024-01-03 15:00:00+00:00,4753.25,16595.25,37713.0,2001.199951171875,4753.5,16595.0,2001.199951171875,37712.0
2024-01-03 16:00:00+00:00,4751.75,16562.25,37733.0,2000.800048828125,4751.75,16562.25,2000.800048828125,37736.0
2024-01-03 17:00:00+00:00,4762.25,16600.5,37819.0,2000.199951171875,4762.25,16600.5,2000.199951171875,37819.0
2024-01-03 18:00:00+00:00,4760.5,16585.5,37808.0,1997.9000244140625,4760.0,16584.25,1998.4000244140625,37810.0
2024-01-03 19:00:00+00:00,4761.5,16590.5,37823.0,1993.0999755859375,4761.5,16590.5,1993.0999755859375,37824.0
2024-01-03 20:00:00+00:00,4746.75,16540.75,37702.0,1977.699951171875,4746.75,16540.75,1977.699951171875,37702.0
2024-01-03 21:00:00+00:00,4748.75,16542.75,37721.0,1980.4000244140625,4749.0,16542.25,1980.4000244140625,37718.0
2024-01-03 23:00:00+00:00,4750.0,16549.5,37726.0,1982.300048828125,4749.75,16549.5,1982.4000244140625,37727.0
2024-01-04 00:00:00+00:00,4752.75,16560.0,37742.0,1984.5999755859375,4752.5,16560.0,1984.5,37742.0
2024-01-04 01:00:00+00:00,4752.25,16555.75,37742.0,1984.5,4752.0,16555.75,1984.4000244140625,37745.0
2024-01-04 02:00:00+00:00,4751.0,16552.25,37739.0,1983.4000244140625,4751.0,16552.0,1983.4000244140625,37739.0
