Date,SNOW,CRM,NOW,TEAM,ORCL,IBM,NET,PANW,CRWD,ZS
2024-01-02 14:30:00+00:00,190.27000427246094,254.8800048828125,680.7899780273438,226.94000244140625,103.38999938964844,161.38999938964844,79.31999969482422,143.07249450683594,245.8699951171875,212.8000030517578
2024-01-02 15:30:00+00:00,191.42660522460938,256.44500732421875,685.0,227.8699951171875,103.2300033569336,161.91000366210938,79.93000030517578,144.88499450683594,247.21409606933594,215.1199951171875
2024-01-02 16:30:00+00:00,191.4156036376953,256.7099914550781,685.7000122070312,228.30999755859375,103.8499984741211,161.91830444335938,79.58000183105469,145.0500030517578,247.0041961669922,214.00999450683594
2024-01-02 17:30:00+00:00,190.32000732421875,256.3349914550781,684.11279296875,227.2550048828125,104.08000183105469,161.55999755859375,79.4800033569336,144.60000610351562,246.8699951171875,213.19500732421875
2024-01-02 18:30:00+00:00,189.35000610351562,255.63999938964844,684.1950073242188,227.26499938964844,104.24500274658203,161.0399932861328,79.39009857177734,144.81179809570312,246.00469970703125,212.09500122070312
2024-01-02 19:30:00+00:00,188.19000244140625,255.36000061035156,683.0800170898438,226.7899932861328,103.69999694824219,160.82000732421875,78.86289978027344,143.9774932861328,244.86500549316406,211.60000610351562
2024-01-02 20:30:00+00:00,189.11000061035156,256.1600036621094,687.8699951171875,226.67999267578125,104.06999969482422,161.52000427246094,79.3499984741211,144.44500732421875,246.88999938964844,212.27999877929688
2024-01-03 14:30:00+00:00,185.25,252.7050018310547,681.8200073242188,220.44000244140625,101.95999908447266,161.35000610351562,77.12999725341797,143.36195373535156,247.10499572753906,212.49000549316406
2024-01-03 15:30:00+00:00,185.27000427246094,252.7100067138672,678.34521484375,220.74000549316406,102.2300033569336,161.25880432128906,76.94999694824219,143.47500610351562,245.41000366210938,211.75
2024-01-03 16:30:00+00:00,184.24000549316406,253.0850067138672,675.72998046875,221.08999633789062,102.42500305175781,160.6699981689453,76.82499694824219,142.82000732421875,243.84500122070312,210.23899841308594
2024-01-03 17:30:00+00:00,184.2899932861328,253.23500061035156,676.8250122070312,221.1999969482422,102.79000091552734,160.72999572753906,77.02999877929688,142.9149932861328,243.9199981689453,209.69500732421875
2024-01-03 18:30:00+00:00,184.61000061035156,253.17999267578125,678.0,220.5850067138672,102.94999694824219,160.81500244140625,76.94000244140625,143.3695068359375,244.0399932861328,209.77000427246094
